VideoID,Label
HVC286,2
HVC288,2
HVC314,2
HVC326,2
HVC328,2
HVC332,1
HVC333,3
HVC356,1
HVC443,1
HVC468,3
HVC472,2
HVC476,2
HVC477,2
HVC479,2
HVC480,2
HVC481,2
HVC505,2
HVC516,1
HVC522,2
HVC633,2
HVC657,2
HVC675,3
HVC677,1
HVC680,1
HVC709,2
HVC713,1
HVC716,2
HVC717,2
HVC720,3
HVC721,3
HVC728,3
HVC729,1
HVC731,2
HVC736,3
HVC739,2
HVC741,2
HVC745,2
HVC755,2
HVC788,2
HVC855,2
HVC857,2
HVC871,1
HVC872,2
HVC883,2
HVC887,3
HVC919,1
HVC921,1
HVC961,3
HVC1035,1
HVC1037,2
HVC1039,1
HVC1063,2
HVC1064,2
HVC1069,2
HVC1076,2
HVC1079,1
HVC1082,2
HVC1083,2
HVC1086,2
HVC1088,2
HVC1105,2
HVC1107,2
HVC1112,2
HVC1118,2
HVC1120,2
HVC1124,2
HVC1125,2
HVC1127,1
HVC1132,1
HVC1133,2
HVC1135,1
HVC1136,2
HVC1138,2
HVC1141,2
HVC1142,1
HVC1143,2
HVC1144,3
HVC1151,1
HVC1152,2
HVC1153,2
HVC1154,2
HVC1155,2
HVC1158,2
HVC1160,2
HVC1161,2
HVC1162,2
HVC1168,2
HVC1191,1
HVC1209,2
HVC1228,3
HVC1229,1
HVC1230,2
HVC1231,2
HVC1232,2
HVC1233,1
HVC1238,1
HVC1242,2
HVC1246,2
HVC1247,2
HVC1258,2
HVC1259,2
HVC1266,1
HVC1268,2
HVC1269,2
HVC1279,2
HVC1281,2
HVC1282,2
HVC1316,1
HVC1340,2
HVC1345,2
HVC1350,2
HVC1379,2
HVC1410,2
HVC1411,2
HVC1412,1
HVC1414,2
HVC1415,1
HVC1416,2
HVC1417,2
HVC1419,2
HVC1422,2
HVC1425,1
HVC1433,2
HVC1436,1
HVC1437,2
HVC1443,2
HVC1555,1
HVC1556,2
HVC1557,2
HVC1563,2
HVC1567,1
HVC1568,2
HVC1579,2
HVC1582,2
HVC1590,2
HVC1600,2
HVC1605,2
HVC1609,2
HVC1610,2
HVC1612,2
HVC1613,2
HVC1615,2
HVC1620,2
HVC1622,2
HVC1637,2
HVC1639,2
HVC1640,2
HVC1646,2
HVC1667,2
HVC1673,2
HVC1681,2
HVC1684,2
HVC1722,3
HVC1724,3
HVC1726,1
HVC1728,2
HVC1729,2
HVC1731,2
HVC1734,2
HVC1742,1
HVC1764,2
HVC1765,2
HVC1769,2
HVC1777,1
HVC1778,2
HVC1779,3
HVC1783,1
HVC1789,2
HVC1792,3
HVC1808,2
HVC1817,1
HVC1819,2
HVC1824,2
HVC1825,1
HVC1828,2
HVC1831,2
HVC1832,3
HVC1834,1
HVC1835,2
HVC1836,2
HVC1840,2
HVC1842,2
HVC1844,2
HVC1845,2
HVC1848,3
HVC1849,1
HVC1850,2
HVC1851,2
HVC1852,3
HVC1854,1
HVC1860,2
HVC1864,3
HVC1865,2
HVC1866,2
HVC1868,2
HVC1872,1
HVC1873,1
HVC1883,2
HVC1887,2
HVC1889,3
HVC1897,2
HVC1898,3
HVC1900,1
HVC1902,2
HVC1907,1
HVC1908,2
HVC1910,3
HVC1938,1
HVC1939,2
HVC1944,2
HVC1945,3
HVC1946,1
HVC1948,2
HVC1950,2
HVC1952,2
HVC1955,3
HVC1957,2
HVC1963,1
HVC1968,3
HVC1971,2
HVC1972,1
HVC1979,3
HVC1980,2
HVC1986,2
HVC1992,2
HVC1995,2
HVC2004,2
HVC2010,2
HVC2018,2
HVC2021,3
HVC2062,2
HVC2065,3
HVC2069,2
HVC2071,2
HVC2079,3
HVC2096,2
HVC2132,2
HVC2135,2
HVC2140,2
HVC2143,2
HVC2147,2
HVC2153,2
HVC2157,2
HVC2158,2
HVC2194,2
HVC2195,2
HVC2196,2
HVC2199,2
HVC2209,2
HVC2219,2
HVC2222,2
HVC2224,2
HVC2225,3
HVC2228,2
HVC2229,1
HVC2233,3
HVC2237,3
HVC2239,2
HVC2248,3
HVC2255,2
HVC2259,2
HVC2267,1
HVC2272,3
HVC2279,3
HVC2289,2
HVC2293,2
HVC2297,2
HVC2298,2
HVC2301,2
HVC2304,2
HVC2306,2
HVC2311,2
HVC2313,1
HVC2317,1
HVC2321,3
HVC2335,2
HVC2352,3
HVC2361,2
HVC2371,2
HVC2375,3
HVC2380,2
HVC2387,2
HVC2390,3
HVC2392,2
HVC2393,3
HVC2399,2
HVC2404,2
HVC2405,3
HVC2409,3
HVC2411,2
HVC2412,3
HVC2415,3
HVC2419,1
HVC2420,2
HVC2422,2
HVC2446,1
HVC2448,2
HVC2496,3
HVC2504,1
HVC2508,2
HVC2521,1
HVC2522,2
HVC2523,1
HVC2526,2
HVC2528,2
HVC2529,2
HVC2532,2
HVC2550,2
HVC2552,3
HVC2553,2
HVC2557,2
HVC2562,1
HVC2566,2
HVC2571,2
HVC2573,1
HVC2574,3
HVC2575,3
HVC2580,2
HVC2584,3
HVC2588,1
HVC2595,2
HVC2599,2
HVC2601,2
HVC2602,3
HVC2604,2
HVC2606,1
HVC2607,3
HVC2608,2
HVC2609,2
HVC2610,1
HVC2615,1
HVC2616,3
HVC2617,1
HVC2618,3
HVC2622,2
HVC2635,2
HVC2639,2
HVC2647,1
HVC2649,2
HVC2650,3
HVC2655,3
HVC2657,2
HVC2658,2
HVC2667,3
HVC2669,2
HVC2674,3
HVC2675,3
HVC2677,1
HVC2682,3
HVC2685,2
HVC2687,2
HVC2691,2
HVC2698,2
HVC2702,2
HVC2703,2
HVC2705,3
HVC2707,3
HVC2710,2
HVC2711,2
HVC2713,1
HVC2714,2
HVC2715,1
HVC2716,2
HVC2718,3
HVC2720,3
HVC2721,2
HVC2723,2
HVC2724,2
HVC2728,2
HVC2736,1
HVC2742,3
HVC2749,1
HVC2759,3
HVC2760,3
HVC2762,1
HVC2768,2
HVC2769,2
HVC2780,2
HVC2782,3
HVC2786,2
HVC2789,1
HVC2791,3
HVC2807,2
HVC2809,2
HVC2810,3
HVC2812,2
HVC2814,1
HVC2818,1
HVC2825,1
HVC2828,1
HVC2832,3
HVC2834,2
HVC2835,3
HVC2836,3
HVC2837,1
HVC2838,2
HVC2839,2
HVC2840,2
HVC2842,1
HVC2846,2
HVC2848,1
HVC2856,3
HVC2857,2
HVC2858,2
HVC3002,1
HVC3006,1
HVC3007,2
HVC3012,2
HVC3013,2
HVC3014,2
HVC3015,3
HVC3016,3
HVC3017,3
HVC3019,2
HVC3020,2
HVC3021,2
HVC3022,2
HVC3024,2
HVC3025,2
HVC3027,2
HVC3031,2
HVC3032,2
HVC3034,3
HVC3071,1
HVC3072,2
HVC3077,2
HVC3078,1
HVC3081,1
HVC3082,2
HVC3097,2
HVC3099,2
HVC3100,2
HVC3107,3
HVC3113,2
HVC3114,2
HVC3116,2
HVC3117,1
HVC3118,1
HVC3119,2
HVC3123,2
HVC3124,2
HVC3126,2
HVC3129,3
HVC3131,2
HVC3132,1
HVC3135,2
HVC3136,3
HVC3137,3
HVC3143,2
HVC3148,3
HVC3154,2
HVC3155,2
HVC3157,3
HVC3160,2
HVC3161,2
HVC3162,1
HVC3168,1
HVC3169,2
HVC3170,2
HVC3171,2
HVC3173,2
HVC3174,2
HVC3180,2
HVC3183,2
HVC3184,3
HVC3185,2
HVC3187,2
HVC3189,1
HVC3190,2
HVC3196,1
HVC3199,1
HVC3204,2
HVC3205,2
HVC3209,1
HVC3210,2
HVC3211,2
HVC3212,1
HVC3217,3
HVC3218,2
HVC3223,1
HVC3254,1
HVC3259,2
HVC3261,2
HVC3262,1
HVC3264,3
HVC3265,2
HVC3266,3
HVC3267,1
HVC3268,2
HVC3269,2
HVC3270,1
HVC3271,2
HVC3280,3
HVC3285,2
HVC3287,2
HVC3296,2
HVC3297,2
HVC3300,1
HVC3302,2
HVC3304,2
HVC3307,2
HVC3308,2
HVC3311,2
HVC3313,2
HVC3314,2
HVC3315,1
HVC3320,1
HVC3321,2
HVC3323,2
HVC3329,2
HVC3332,2
HVC3333,2
HVC3334,1
HVC3336,3
HVC3337,2
HVC3338,2
HVC3348,2
HVC3349,2
HVC3353,2
HVC3371,1
HVC3372,3
HVC3373,3
HVC3400,2
HVC3410,1
HVC3414,2
HVC3416,2
HVC3419,2
HVC3422,2
HVC3424,2
HVC3429,1
HVC3432,2
HVC3492,1
HVC3493,1
HVC3495,2
HVC3496,2
HVC3499,1
HVC3503,3
HVC3507,2
HVC3512,2
HVC3516,2
HVC3517,2
HVC3521,2
HVC3522,2
HVC3523,2
HVC3524,3
HVC3526,2
HVC3535,2
HVC3537,2
HVC3540,2
HVC3541,1
HVC3542,2
HVC3545,2
HVC3550,2
HVC3551,1
HVC3556,2
HVC3557,2
HVC3558,2
HVC3560,1
HVC3564,3
HVC3571,3
HVC3572,1
HVC3573,3
HVC3577,1
HVC3583,2
HVC3584,2
HVC3587,1
HVC3589,1
HVC3591,3
HVC3592,2
HVC3593,2
HVC3596,3
HVC3598,3
HVC3621,1
HVC3639,1
HVC3644,2
HVC3645,2
HVC3647,3
HVC3648,2
HVC3649,2
HVC3652,2
HVC3654,3
HVC3657,1
HVC3661,2
HVC3662,2
HVC3664,3
HVC3667,2
HVC3669,2
HVC3686,2
HVC3688,1
HVC3689,2
HVC3690,2
HVC3691,2
HVC3692,2
HVC3697,2
HVC3698,2
HVC3700,2
HVC3701,3
HVC3704,2
HVC3705,2
HVC3710,2
HVC3712,1
HVC3714,2
HVC3719,2
HVC3722,1
HVC3724,2
HVC3738,3
HVC3741,3
HVC3744,1
HVC3746,3
HVC3748,2
HVC3754,2
HVC3756,2
HVC3757,2
HVC3763,3
HVC3765,1
HVC3771,1
HVC3777,1
HVC3782,2
HVC3786,2
HVC3787,2
HVC3794,2
HVC3796,2
HVC3798,3
HVC3799,3
HVC3800,2
HVC3802,2
HVC3803,2
HVC3804,2
HVC3805,3
HVC3808,2
HVC3809,3
HVC3811,3
HVC3812,3
HVC3814,2
HVC3821,2
HVC3822,1
HVC3835,2
HVC3837,2
HVC3841,1
HVC3842,3
HVC3843,2
HVC3845,2
HVC3846,2
HVC3848,2
HVC3852,1
HVC3855,2
HVC3856,2
HVC3859,3
HVC3860,3
HVC3861,2
HVC3865,2
HVC3866,3
HVC3871,2
HVC3876,2
HVC3877,1
HVC3880,2
HVC3881,1
HVC3888,1
HVC3889,2
HVC3891,2
HVC3897,2
HVC3898,1
HVC3900,2
HVC3901,3
HVC3907,2
HVC3908,2
HVC3912,2
HVC3916,2
HVC3919,2
HVC3920,3
HVC3925,2
HVC3926,1
HVC3931,1
HVC3933,2
HVC3935,1
HVC3936,2
HVC3937,1
HVC3938,2
HVC3941,2
HVC3942,1
HVC3943,3
HVC3952,2
HVC3956,1
HVC3962,1
HVC3965,2
HVC3968,1
HVC3970,2
HVC3988,2
HVC3990,1
HVC3992,2
HVC3994,2
HVC3995,2
HVC3996,2
HVC3999,1
HVC4003,2
HVC4004,3
HVC4021,3
HVC4022,3
HVC4025,1
HVC4026,2
HVC4032,3
HVC4042,2
HVC4043,2
HVC4044,2
HVC4045,2
HVC4046,2
HVC4047,3
HVC4051,1
HVC4052,3
HVC4055,2
HVC4056,3
HVC4057,1
HVC4066,2
HVC4068,3
HVC4070,1
HVC4073,2
HVC4074,3
HVC4099,2
HVC4104,2
HVC4106,2
HVC4107,2
HVC4108,2
HVC4109,2
HVC4110,2
HVC4111,1
HVC4112,2
HVC4114,2
HVC4115,2
HVC4116,1
HVC4117,3
HVC4119,1
HVC4121,2
HVC4122,3
HVC4123,2
HVC4124,1
HVC4125,2
HVC4126,2
HVC4127,3
HVC4128,2
HVC4129,2
HVC4130,2
HVC4131,2
HVC4132,2
HVC4134,2
HVC4135,3
HVC4136,2
HVC4137,2
HVC4138,2
HVC4140,3
HVC4141,1
HVC4142,2
HVC4143,2
HVC4144,1
HVC4147,1
HVC4149,2
HVC4151,2
HVC4152,2
HVC4153,2
HVC4163,2
HVC4170,2
HVC4171,3
HVC4173,2
HVC4175,2
HVC4178,2
HVC4185,2
HVC4189,2
HVC4194,1
HVC4197,2
HVC4201,2
HVC4203,2
HVC4205,1
HVC4209,2
HVC4218,3
HVC4219,2
HVC4220,3
HVC4223,3
HVC4230,3
HVC4232,2
HVC4233,2
HVC4234,2
HVC4239,2
HVC4241,2
HVC4243,1
HVC4246,3
HVC4248,3
HVC4258,3
HVC4261,2
HVC4262,2
HVC4267,3
HVC4268,3
HVC4270,3
HVC4271,2
HVC4273,2
HVC4275,3
HVC4278,2
HVC4283,1
HVC4288,3
HVC4295,2
HVC4307,2
HVC4309,2
HVC4319,2
HVC4321,2
HVC4323,2
HVC4324,2
HVC4325,2
HVC4326,2
HVC4330,2
HVC4333,2
HVC4335,3
HVC4343,2
HVC4350,1
HVC4351,1
HVC4352,3
HVC4355,1
HVC4356,2
HVC4362,2
HVC4363,3
HVC4364,3
HVC4366,2
HVC4368,2
HVC4371,2
HVC4374,2
HVC4375,3
HVC4377,2
HVC4381,3
HVC4387,1
HVC4392,3
HVC4394,2
HVC4395,2
HVC4397,2
HVC4398,3
HVC4399,1
HVC4400,2
HVC4402,2
HVC4406,2
HVC4407,2
HVC4410,3
HVC4411,3
HVC4417,1
HVC4419,1
HVC4422,2
HVC4423,1
HVC4425,2
HVC4428,2
HVC4430,2
HVC4432,2
HVC4433,2
HVC4434,2
HVC4435,2
HVC4444,3
HVC4445,3
HVC4446,3
HVC4447,1
HVC4472,2
HVC4474,1
HVC4475,1
HVC4476,1
HVC532,3
HVC535,3
HVC624,1
HVC725,2
HVC893,2
HVC918,2
HVC1094,2
HVC1163,3
HVC1270,2
HVC1322,2
HVC1413,2
HVC1643,3
HVC1875,2
HVC1912,3
HVC1934,2
HVC1935,2
HVC1983,2
HVC1985,2
HVC2015,2
HVC2019,2
HVC2027,2
HVC2044,2
HVC2045,2
HVC2051,2
HVC2054,2
HVC2067,2
HVC2080,2
HVC2084,2
HVC2099,2
HVC2101,3
HVC2119,2
HVC2131,2
HVC2141,2
HVC2151,1
HVC2156,2
HVC2160,3
HVC2201,3
HVC2203,2
HVC2206,1
HVC2207,2
HVC2210,2
HVC2217,2
HVC2231,3
HVC2261,1
HVC2275,3
HVC2276,2
HVC2285,2
HVC2286,2
HVC2300,3
HVC2310,3
HVC2314,3
HVC2338,2
HVC2339,2
HVC2345,1
HVC2394,3
HVC2398,3
HVC2421,2
HVC2427,2
HVC2429,2
HVC2436,1
HVC2438,1
HVC2459,2
HVC2489,2
HVC2492,1
HVC2502,1
HVC2514,2
HVC2524,2
HVC2548,3
HVC2586,3
HVC2587,2
HVC2590,3
HVC2612,2
HVC2613,2
HVC2624,2
HVC2627,2
HVC2708,3
HVC2719,3
HVC2730,2
HVC2735,3
HVC2739,2
HVC2740,3
HVC2802,2
HVC2805,2
HVC3087,2
HVC3090,3
HVC3091,1
HVC3092,2
HVC3095,2
HVC3103,2
HVC3106,1
HVC3110,3
HVC3111,2
HVC3277,1
HVC3279,2
HVC3288,2
HVC3289,2
HVC3292,3
HVC3293,1
HVC3295,2
HVC3335,2
HVC3358,3
HVC3449,2
HVC3510,2
HVC3513,2
HVC3590,2
HVC3605,2
HVC3971,1
HVC3977,2
HVC4054,3
HVC4061,1
HVC4065,2
HVC4071,2
HVC4072,2
HVC4082,2
HVC4084,3
HVC4085,2
HVC4086,1
HVC4087,2
HVC4088,1
HVC4089,2
HVC4091,1
HVC4093,2
HVC4100,2
HVC4101,2
HVC4102,1
HVC4155,2
HVC4157,1
HVC4159,2
HVC4160,1
HVC4177,2
HVC4251,1
HVC4305,2
HVC4359,2
HVC4373,2
HVC4390,1
HVC4437,2
HVC4441,1
HVC4450,2
HVC4451,3
HVC4453,2
HVC4454,2
HVC4456,2
HVC4457,2
HVC4458,2
HVC4459,1
HVC4460,2
